Line Order,Line Item,pl_mapping_2,pl_mapping_3,pl_mapping_4,Amount,Region,Month
L3-02-01-01,L3 Expenses,"2. MM Costs , net",(-)Vehicle Lease/Rent,Adjustment,4551.342903,NA,May'24
L3-02-02-01,L3 Expenses,"2. MM Costs , net",(-)Labor costs,Adjustment,-1.167529032,NA,May'24
L3-02-03-01,L3 Expenses,"2. MM Costs , net",(-)Fuel,Adjustment,497.0640028,NA,May'24
L3-02-04-01,L3 Expenses,"2. MM Costs , net",(-)Other,Adjustment,-1516.988387,NA,May'24
L3-03-01-01,L3 Expenses,3. Non People G&A,Adjustment,Adjustment,122.6022581,NA,May'24
L3-03-02-01,L3 Expenses,(-)Labor costs,Adjustment,Adjustment,-0.561300484,NA,May'24
L4-01-01-01,L4 Expenses,1. People G&A,Adjustment,Adjustment,2664.490325,NA,May'24
L4-02-01-01,L4 Expenses,2. Non People G&A,(-)Professional services,Adjustment,-3503.990121,NA,May'24
L4-03-06-01,L4 Expenses,Non-recurring Costs,(-)Closing Other Cost,Adjustment,-12026.9754,NA,May'24
L3-04,L3 Expenses,One-Time,One-Time,One-Time,-1764.746277,NA,May'24
L1-01-01,Gross Sales,Adjustment,Adjustment,Adjustment,-1380.645475,EU,May'24
L1-01-03-01,Gross Sales,SaaS - Revenue,SaaS - Revenue,SaaS - Revenue,-65.20556742,EU,May'24
L1-02-01,Discount,Adjustment,Adjustment,Adjustment,-40.91599877,EU,May'24
L1-03-01,Refund,Adjustment,Adjustment,Adjustment,196.753905,EU,May'24
L1-08-01,GTM,Adjustment,Adjustment,Adjustment,572.2261016,EU,May'24
L1-09-01,L1 Expenses,(-)Food Purchases,Adjustment,Adjustment,-2504.172501,EU,May'24
L1-10-01-01,L1 Expenses,1. Residual Rent,(-)Paid to Landlord for used space,Adjustment,2735.938057,EU,May'24
L1-11-01-01,L1 Expenses,2. Residual Content Royalty,(-)Paid to Content Providers,Adjustment,-223.7495446,EU,May'24
L1-12-01-01,L1 Expenses,3. Residual Utilities and R&M,(-)Paid to Vendors,Adjustment,-133.4175824,EU,May'24
L1-13-01-01,L1 Expenses,4.Other,(-)Paid to Vendors,Adjustment,-315.2018024,EU,May'24
L1-14-01-01,L1 Expenses,(-)Labor Cost,Adjustment,Adjustment,1063.033917,EU,May'24
L1-15-01,L1 Expenses,(-)Reef Commission Expense,Adjustment,Adjustment,-138.4540374,EU,May'24
L2-01-01-01,L2 Expenses,1. Residual Site Service,(-)Paid to Vendors,Adjustment,77.43602625,EU,May'24
L3-01-01-01,L3 Expenses,"1. UG Costs , net",(-)Food Purchases,Adjustment,3877.245348,EU,May'24
L3-01-04-01,L3 Expenses,"1. UG Costs , net",(-)Utilities and R&M,Adjustment,-1.46507523,EU,May'24
L3-01-05-01,L3 Expenses,"1. UG Costs , net",(-)Other,Adjustment,29.21206451,EU,May'24
L3-02-01-01,L3 Expenses,"2. MM Costs , net",(-)Vehicle Lease/Rent,Adjustment,100.2,EU,May'24
L3-02-02-01,L3 Expenses,"2. MM Costs , net",(-)Labor costs,Adjustment,207.6909334,EU,May'24
L3-02-03-01,L3 Expenses,"2. MM Costs , net",(-)Fuel,Adjustment,12.24615385,EU,May'24
L3-03-01-01,L3 Expenses,3. Non People G&A,Adjustment,Adjustment,64.29419355,EU,May'24
L3-03-02-01,L3 Expenses,(-)Labor costs,Adjustment,Adjustment,-0.785937419,EU,May'24
L4-01-01-01,L4 Expenses,1. People G&A,Adjustment,Adjustment,5489.043243,EU,May'24
L4-01-02-01,L4 Expenses,1. People G&A,SK People,SK People,-1100.023003,EU,May'24
L4-02-01-01,L4 Expenses,2. Non People G&A,(-)Professional services,Adjustment,6587.167564,EU,May'24
L4-03-06-01,L4 Expenses,Non-recurring Costs,(-)Closing Other Cost,Adjustment,-5452.362543,EU,May'24
L3-04,L3 Expenses,One-Time,One-Time,One-Time,-4354.456999,EU,May'24
L1-01-01,Gross Sales,Adjustment,Adjustment,Adjustment,-250.1160935,MENA,May'24
L1-02-01,Discount,Adjustment,Adjustment,Adjustment,1255.948174,MENA,May'24
L1-03-01,Refund,Adjustment,Adjustment,Adjustment,-1300.278073,MENA,May'24
L1-08-01,GTM,Adjustment,Adjustment,Adjustment,219.0534387,MENA,May'24
L1-10-01-01,L1 Expenses,1. Residual Rent,(-)Paid to Landlord for used space,Adjustment,-227.9845,MENA,May'24
L1-11-01-01,L1 Expenses,2. Residual Content Royalty,(-)Paid to Content Providers,Adjustment,175.5467645,MENA,May'24
L1-12-01-01,L1 Expenses,3. Residual Utilities and R&M,(-)Paid to Vendors,Adjustment,-176.9358323,MENA,May'24
L1-13-01-01,L1 Expenses,4.Other,(-)Paid to Vendors,Adjustment,-654.1974065,MENA,May'24
L1-14-01-01,L1 Expenses,(-)Labor Cost,Adjustment,Adjustment,-3852.061639,MENA,May'24
L1-15-01,L1 Expenses,(-)Reef Commission Expense,Adjustment,Adjustment,-4634.058018,MENA,May'24
L2-01-01-01,L2 Expenses,1. Residual Site Service,(-)Paid to Vendors,Adjustment,-0.305967742,MENA,May'24
L3-01-01-01,L3 Expenses,"1. UG Costs , net",(-)Food Purchases,Adjustment,4198.882398,MENA,May'24
L3-01-04-01,L3 Expenses,"1. UG Costs , net",(-)Utilities and R&M,Adjustment,-640.5179484,MENA,May'24
L3-01-05-01,L3 Expenses,"1. UG Costs , net",(-)Other,Adjustment,-182.7137677,MENA,May'24
L3-02-02-01,L3 Expenses,"2. MM Costs , net",(-)Labor costs,Adjustment,-0.659674194,MENA,May'24
L3-02-03-01,L3 Expenses,"2. MM Costs , net",(-)Fuel,Adjustment,-12.80609355,MENA,May'24
L4-01-01-01,L4 Expenses,1. People G&A,Adjustment,Adjustment,2061.005428,MENA,May'24
L4-02-01-01-01,L4 Expenses,2. Non People G&A,Non People G&A,Adjustment,-2939.693564,MENA,May'24
L4-03-06,L4 Expenses,Non-recurring Costs,Adjustment,Adjustment,-7976.878156,MENA,May'24
L1-09-01,L1 Expenses,(-)Food Purchases,Adjustment,Adjustment,11565.19622,MENA,May'24
